Code;pH;TOC;P;K;Mg;Ca;Na;MC;CEC
AK_18;6.5;0.86;10;11;22;222;3.5;4.58;13.37
AK_19;6.3;0.91;10;15;17;204;2.5;5.14;12.11
AK_20;5.7;1.53;11;17;18;154;3.5;4.88;9.79
AK_21;6.6;0.96;21;22;12;175;2.3;2.9;10.41
AK_22;6.7;0.99;17;23;14;195;2.6;4.43;11.62
AK_23;7.3;1.02;23;30;14;299;2;3.7;16.97
AK_24;6.5;1.32;19;24;17;214;2.2;3.26;12.83
AK_25;6.4;1.29;20;19;15;215;2.6;4.77;12.6
AK_26;6.9;1.15;26;32;14;248;1.6;3.08;14.46
AK_27;6.5;1.02;23;29;13;187;1.8;3.46;11.26
AK_28;6.7;1.24;28;35;17;229;2.3;3.74;13.86
AK_29;6.4;1.06;23;33;14;176;2;4.13;10.9
AK_30;7.1;1.11;24;23;12;272;1.2;3.34;15.24
AK_31;6.4;0.97;16;23;13;169;2.8;2.28;10.24
AK_32;6.5;0.97;14;21;12;175;2.1;2.36;10.38
AK_33;6.5;1.19;27;35;13;183;2.3;3.08;11.23
AK_34;7.3;0.94;28;28;12;297;1.3;3.59;16.62
AK_35;6.2;1.07;20;21;16;153;3.6;2.34;9.68
AK_36;6.8;1.57;25;30;27;258;2.4;4.72;16.02
AK_37;6.7;1.24;23;29;17;228;2.1;3.95;13.65
AK_38;6.9;1.11;19;15;23;306;2.2;3.59;17.7
AK_39;6.6;1.28;20;26;18;227;3.4;3.89;13.66
AK_40;7;1.24;24;19;19;283;1.6;3.38;16.29
JZ_1;7.2;1.41;31;54;27;303;7.8;8.51;19.12
JZ_3;6.9;1.43;43;58;32;298;30;8.51;20.36
JZ_4;7.5;1.24;43;45;38;581;26;10.1;34.5
JZ_5;6.8;1.5;33;38;28;315;13.2;8.69;19.63
JZ_6;7;1.39;16;34;18;313;10.7;8.83;18.49
JZ_7;7.8;1.48;49;45;38;791;24;8.91;44.91
JZ_8;6.6;1.38;26;45;25;252;22;8.55;16.79
JZ_9;7.3;1.55;21;35;24;566;12.2;7.33;31.73
